id	name	value1	value2	urut
1	ACEH	402.474	2.387.904	
2	SUMATERA UTARA	3.921.733	3.578.597	
3	SUMATERA BARAT	407.638	2.485.265	
4	RIAU	1.246.888	1.973.298	
5	JAMBI	858.738	1.200.255	
6	SUMATERA SELATAN	1.916.832	2.832.745	
7	BENGKULU	582.845	585.598	
8	LAMPUNG	2.845.798	1.951.645	
9	KEPULAUAN BANGKA BELITUNG	495.500	288.097	
10	KEPULAUAN RIAU	548.388	462.666	
11	DKI JAKARTA	3.269.971	3.057.851	
12	JAWA BARAT	10.729.229	16.044.787	
13	JAWA TENGAH	16.784.716	4.939.445	
14	DAERAH ISTIMEWA YOGYAKARTA	1.640.789	735.789	
15	JAWA TIMUR	16.189.282	8.419.928	
16	BANTEN	2.530.608	4.045.338	
17	BALI	2.342.628	212.586	
18	NUSA TENGGARA BARAT	950.480	2.009.305	
19	NUSA TENGGARA TIMUR	2.362.041	305.615	
20	KALIMANTAN BARAT	1.707.147	1.260.600	
21	KALIMANTAN TENGAH	828.596	536.213	
22	KALIMANTAN SELATAN	823.219	1.467.906	
23	KALIMANTAN TIMUR	1.093.148	870.043	
24	SULAWESI UTARA	1.218.303	359.131	
25	SULAWESI TENGAH	913.753	705.310	
26	SULAWESI SELATAN	2.117.839	2.807.109	
27	SULAWESI TENGGARA	554.247	840.029	
28	GORONTALO	369.338	344.798	
29	SULAWESI BARAT	474.852	263.345	
30	MALUKU	591.661	394.493	
31	MALUKU UTARA	310.585	344.366	
32	PAPUA	2.363.009	211.032	
33	PAPUA BARAT	437.630	108.924	
34	KALIMANTAN UTARA	247.352	105.498	
